ID;expression1;expression2;sentence1;sentence2
hom_1825;huddle;huddle;The football team decided to huddle to discuss their strategy for the next quarter.;On a cold evening, the friends would huddle around the fireplace to stay warm.
hom_1548;lost;lost;The hikers became lost in the forest.;The shelter provides support for lost women.
hom_753;underhanded;underhanded;His underhanded tactics made everyone distrust him.;The pitcher delivered an underhanded throw to the batter.
het_1398; unalienable; unalienable; The Constitution guarantees certain unalienable rights to every individual.; The alien's unalienable presence made it a persistent threat to the city.
hom_1039;fired;fired;After many years of service, she was fired from her position.;The human cannonball was fired from the cannon into the arena.
het_428; nothing but; nothing butt; She wants nothing but the best for her children.; He checked to ensure there was nothing butt on the back of the chair.
het_692; ass; ash; He made an ass of himself during the presentation.; After the fire, there was only ash left.
hom_368;gap;gap;I went to the Gap to buy some clothes.;The dentist fixed the gap between my teeth.
hom_1171;batter;batter;He continued to batter his opponent.;She prepared the batter for the fish and chips.
het_1721;principles;principals;An honorable student always upholds their principles.;The students discussed the new policies with their principals.
het_1695;laughs last;laughs last;He always laughs last after everyone has finished telling jokes.;In the marathon, she laughs last as she crosses the finish line.
hom_152;material;material;The tailor selected a high-quality material for the suit.;The writer spent hours preparing new material for her lecture.
hom_479;change;change;He received some change after paying with a dollar.;She decided to change her schedule for better efficiency.
het_1756;pearls;perils;The teacher shared pearls of wisdom with her students to guide them in life.;He pondered the perils of wisdom, realizing that too much knowledge could lead to isolation.
hom_1846;justification;justification;The document's justification was adjusted to align the text on both sides.;He provided a strong justification for his actions.
hom_2051; high spirits; high spirits; After hearing the good news, she was in high spirits all day.; The bar was well-stocked with high spirits from various distilleries.
hom_1440;spirit;spirit;The distillery produces various types of spirit, including whiskey and vodka.;Despite the challenges, she maintained a positive spirit throughout the ordeal.
het_730;knave;knave;The knave served the princess diligently.;The knave plotted against the kingdom.
hom_1004; stalking; stalking; Thieves could be charged with stalking the garden owner.; The corn plants have sturdy stalks that support the cobs.
hom_246; mouthful; mouthful; The pharmaceutical company's new drug has a mouthful of a name.; He tried to swallow a mouthful of pills.
het_765;section;section;The classical music section of the store was organized by genre.;The violin is part of the string section in the orchestra.
hom_1559;count on;count on;You can always count on your friends for support.;The calculator can count on performing complex calculations quickly.
hom_1135;pool;pool;The swimmers trained every morning at the local pool.;The company is searching the talent pool to find the best candidate for the position.
hom_1676;chimed in;chimed in;The clock chimed in at twelve noon.;Tom chimed in during the discussion.
hom_245; uprooted; uprooted; The arborist had to uproot the old oak tree from the ground; After the merger, several departments were uprooted from the company structure.
hom_1872;joint;joint;The companies entered a joint venture to develop new technology.;He injured his joint while playing basketball.
het_1264; cosign; cosine; Please cosign the lease agreement to finalize the rental process.; In the triangle, the cosine of the angle is equal to the adjacent side divided by the hypotenuse.
hom_1336;reacting;reacting;When he stopped reacting to suggestions, everyone grew concerned.;Without the catalyst, the chemicals are not reacting.
hom_1733;sharks;sharks;Sharks are apex predators in the ocean ecosystem.;His colleagues describe him as a shark in negotiations.
het_145;bellowed;bellows;Tom bellowed at the crowd to be heard.;She used the bellows to keep the fire alight.
het_1079;waste;waist;The restaurant strives to minimize food waste to protect the environment.;She wore a belt to accentuate her slim waist.
hom_1034;dark day;dark day;The anniversary of the tragedy is considered a dark day in our history.;During the solar eclipse, it became a dark day as the sunlight was completely blocked.
hom_2072; fishy; fishy; The aroma of the freshly cooked salmon was undeniably fishy.; The accountant found the sudden increase in expenses rather fishy.
het_1291;cox;cocks;The cox steered the rowing shell during the race.;The cocks crowed loudly at dawn every morning.
hom_2186;talk trash;talk trash;He tends to talk trash when discussing his rivals.;They often talk trash while collecting and disposing of waste.
het_136;sphincter scale;sphincter scale;The sphincter scale is crucial for controlling the passage of gas.;The earthquake was measured at 8.0 on the sphincter scale.
hom_964;conduct;conduct;The conductor will conduct the orchestra during the concert.;Please conduct yourself with professionalism in the workplace.
het_476;repeat;repeat;Could you repeat what you just said?;They will repeat the process tomorrow.
hom_1831;die;dye;The flowers will die if they don't receive enough sunlight.;She wants to dye her hair a vibrant red.
het_720;ask;axe;Please ask me any questions you have.;He used an axe to chop the wood.
hom_941; no change yet; no change yet; No change yet in the project status.; I checked my pockets, and there's no change yet.
het_872;specific;pacific;The instructions need to be specific to avoid any confusion.;The Pacific Ocean is known for its vast and deep waters.
hom_1868;reprove;re-prove;The manager had to reprove the employee for arriving late.;They need to re-prove the theory with additional data.
het_866;courier favour;curry favour;The logistics team managed the courier favour efficiently to ensure timely deliveries.;Politicians often try to curry favour with voters through various promises.
